Brand Name,Required Asset Type,Required Asset Size SqFt,Preferred Location,Required Liquid Investment INR,Expected Personality Traits,Industry,Contact Email
Chai Street,Food Court Stall,2216,"Bhopal, Tamil Nadu",753736,Opportunity Hunter,HORECA,chaistreet9554@business.com
Velvet Lounge,Commercial Shop,3924,"Bhubaneswar, Maharashtra",2534481,"Strategic Planner, Persuasive Networker",HORECA,velvetlounge8159@business.com
Imperial Cuisine,Standalone Building,315,"Bengaluru, Telangana",16059619,"Adaptive Problem Solver, Confident Leader, Visionary Innovator",HORECA,imperialcuisine4435@business.com
Punjab Cafe,Mall Kiosk,2142,"Guwahati, Gujarat",2902402,"Opportunity Hunter, Adaptive Problem Solver",HORECA,punjabcafe5745@business.com
Desi Eatery,Restaurant Space,1896,"Chennai, West Bengal",3358546,"Resilient Builder, Execution Specialist",HORECA,desieatery4336@business.com
Kolkata Kitchen,Standalone Building,1705,"Pune, Maharashtra",1797626,"Execution Specialist, Resilient Builder, Confident Leader",HORECA,kolkatakitchen9220@business.com
Punjab Dhaba,Standalone Building,3690,"Nagpur, Delhi",17721765,"Persuasive Networker, Opportunity Hunter, Visionary Innovator",HORECA,punjabdhaba5619@business.com
Royal Cafe,Food Court Stall,2192,"Lucknow, West Bengal",0,"Execution Specialist, Resilient Builder",HORECA,royalcafe7002@business.com
Hyderabadi Meals,Standalone Building,1603,"Jaipur, Gujarat",0,Visionary Innovator,HORECA,hyderabadimeals6058@business.com
Heritage Kitchen,Mall Kiosk,2165,"Ahmedabad, Assam",2901249,Visionary Innovator,HORECA,heritagekitchen587@business.com
Urban Table,Food Court Stall,3108,"Delhi, West Bengal",16624440,"Visionary Innovator, Confident Leader",HORECA,urbantable7787@business.com
Golden Platter,Retail Space,3951,"Chandigarh, West Bengal",0,Opportunity Hunter,HORECA,goldenplatter7299@business.com
India Biryani,Mall Kiosk,2269,"Kolkata, Telangana",0,"Resilient Builder, Adaptive Problem Solver",HORECA,indiabiryani1385@business.com
Regal House,Restaurant Space,2603,"Guwahati, Tamil Nadu",3723584,"Opportunity Hunter, Resilient Builder, Execution Specialist",HORECA,regalhouse855@business.com
Velvet House,Food Court Stall,485,"Bhopal, Uttar Pradesh",0,"Execution Specialist, Adaptive Problem Solver, Strategic Planner",HORECA,velvethouse2030@business.com
Masti Stop,Retail Space,1986,"Bengaluru, Kerala",3788189,"Strategic Planner, Resilient Builder, Visionary Innovator",HORECA,mastistop6288@business.com
Bengal Dhaba,Commercial Shop,3174,"Chandigarh, Maharashtra",2129572,"Opportunity Hunter, Resilient Builder, Strategic Planner",HORECA,bengaldhaba8006@business.com
Madras Kitchen,Mall Kiosk,1426,"Hyderabad, West Bengal",2672156,"Visionary Innovator, Execution Specialist, Confident Leader",HORECA,madraskitchen3725@business.com
Elite Kitchen,Food Court Stall,3583,"Chennai, Telangana",260857,Opportunity Hunter,HORECA,elitekitchen6165@business.com
Urban Cafe,Commercial Shop,1449,"Nagpur, Madhya Pradesh",14350137,Execution Specialist,HORECA,urbancafe6535@business.com
Chill Station,Retail Space,3794,"Jaipur, Telangana",2296058,"Adaptive Problem Solver, Execution Specialist, Strategic Planner",HORECA,chillstation1214@business.com
Regal Reserve,Mall Kiosk,269,"Pune, Maharashtra",16496069,"Confident Leader, Adaptive Problem Solver, Strategic Planner",HORECA,regalreserve7622@business.com
Chill Street,Commercial Shop,3426,"Jaipur, Odisha",0,"Strategic Planner, Adaptive Problem Solver, Persuasive Networker",HORECA,chillstreet7197@business.com
Masala Hub,Food Court Stall,1240,"Bhopal, West Bengal",4172899,"Strategic Planner, Persuasive Networker, Opportunity Hunter",HORECA,masalahub7538@business.com
Chai Adda,Standalone Building,4000,"Indore, Madhya Pradesh",18458232,"Opportunity Hunter, Confident Leader",HORECA,chaiadda7019@business.com
Crazy Point,Mall Kiosk,2139,"Jaipur, Rajasthan",0,"Strategic Planner, Confident Leader",HORECA,crazypoint4966@business.com
Punjab Corner,Standalone Building,3232,"Bhopal, Uttar Pradesh",786933,Opportunity Hunter,HORECA,punjabcorner3762@business.com
Masala Corner,Retail Space,3590,"Lucknow, Telangana",14941324,Adaptive Problem Solver,HORECA,masalacorner304@business.com
Masala Bazaar,Standalone Building,2440,"Pune, Kerala",0,"Strategic Planner, Execution Specialist",HORECA,masalabazaar1909@business.com
Lucknow Meals,Food Court Stall,1183,"Bhubaneswar, Telangana",9080491,"Adaptive Problem Solver, Strategic Planner, Visionary Innovator",HORECA,lucknowmeals6826@business.com
Lucknow House,Retail Space,2822,"Kolkata, Assam",2530378,"Confident Leader, Visionary Innovator, Opportunity Hunter",HORECA,lucknowhouse2479@business.com
Chill Spot,Standalone Building,1395,"Surat, Maharashtra",10935881,"Visionary Innovator, Resilient Builder",HORECA,chillspot4863@business.com
Spice Point,Commercial Shop,2974,"Lucknow, Gujarat",690265,"Persuasive Networker, Resilient Builder",HORECA,spicepoint6653@business.com
Elite Dining,Food Court Stall,3677,"Kochi, Maharashtra",835168,"Confident Leader, Resilient Builder, Adaptive Problem Solver",HORECA,elitedining8026@business.com
Lucknow Biryani,Standalone Building,1057,"Lucknow, West Bengal",14034155,Opportunity Hunter,HORECA,lucknowbiryani6328@business.com
Masti Bazaar,Mall Kiosk,1326,"Kochi, Tamil Nadu",19969202,Execution Specialist,HORECA,mastibazaar7839@business.com
Signature Dining,Retail Space,2617,"Chennai, Odisha",0,"Execution Specialist, Adaptive Problem Solver",HORECA,signaturedining2708@business.com
Desi Station,Standalone Building,740,"Mumbai, West Bengal",0,"Visionary Innovator, Adaptive Problem Solver",HORECA,desistation7642@business.com
Desi Biryani,Food Court Stall,645,"Lucknow, Assam",1482650,"Opportunity Hunter, Execution Specialist, Strategic Planner",HORECA,desibiryani1440@business.com
India Biryani,Retail Space,2425,"Ahmedabad, Karnataka",2269478,Persuasive Networker,HORECA,indiabiryani6529@business.com
Biryani Corner,Retail Space,1604,"Hyderabad, West Bengal",0,"Persuasive Networker, Opportunity Hunter, Resilient Builder",HORECA,biryanicorner5218@business.com
Lucknow Biryani,Food Court Stall,836,"Chennai, Assam",1559156,"Visionary Innovator, Resilient Builder, Execution Specialist",HORECA,lucknowbiryani4329@business.com
Bombay Dhaba,Mall Kiosk,2290,"Guwahati, Karnataka",1455272,"Visionary Innovator, Adaptive Problem Solver",HORECA,bombaydhaba2809@business.com
Golden Table,Food Court Stall,3407,"Kolkata, Rajasthan",0,Visionary Innovator,HORECA,goldentable4637@business.com
Hungry Station,Food Court Stall,2656,"Noida, Assam",362806,"Visionary Innovator, Opportunity Hunter",HORECA,hungrystation1324@business.com
Chai Corner,Retail Space,3372,"Delhi, Rajasthan",0,"Adaptive Problem Solver, Resilient Builder",HORECA,chaicorner1258@business.com
Golden Kitchen,Restaurant Space,3808,"Jaipur, Maharashtra",0,Adaptive Problem Solver,HORECA,goldenkitchen7788@business.com
Bengal Eatery,Food Court Stall,2175,"Chennai, Gujarat",2172985,"Resilient Builder, Opportunity Hunter, Visionary Innovator",HORECA,bengaleatery5108@business.com
Heritage Bistro,Standalone Building,3455,"Surat, Madhya Pradesh",11002095,"Execution Specialist, Resilient Builder",HORECA,heritagebistro9838@business.com
Grand Cuisine,Commercial Shop,2119,"Ahmedabad, Tamil Nadu",9387879,"Strategic Planner, Opportunity Hunter",HORECA,grandcuisine789@business.com
India Biryani,Restaurant Space,1153,"Jaipur, Assam",0,"Execution Specialist, Confident Leader, Adaptive Problem Solver",HORECA,indiabiryani7468@business.com
Chai Street,Retail Space,2945,"Indore, Karnataka",3144927,"Persuasive Networker, Resilient Builder",HORECA,chaistreet6741@business.com
Tandoor Junction,Retail Space,1558,"Bhopal, Punjab",803409,Strategic Planner,HORECA,tandoorjunction5702@business.com
Hungry Junction,Mall Kiosk,2640,"Kolkata, Karnataka",0,"Confident Leader, Strategic Planner",HORECA,hungryjunction2042@business.com
Lucknow Food Court,Standalone Building,3948,"Jaipur, Gujarat",17491771,Strategic Planner,HORECA,lucknowfoodcourt3794@business.com
Heritage Platter,Food Court Stall,2185,"Jaipur, Punjab",1863145,"Visionary Innovator, Opportunity Hunter",HORECA,heritageplatter1565@business.com
Signature Lounge,Food Court Stall,2308,"Chandigarh, Karnataka",12008975,Adaptive Problem Solver,HORECA,signaturelounge6648@business.com
Tandoor Stop,Retail Space,1831,"Patna, Karnataka",0,Visionary Innovator,HORECA,tandoorstop8591@business.com
Velvet Cuisine,Retail Space,2066,"Guwahati, Delhi",2331172,Strategic Planner,HORECA,velvetcuisine6775@business.com
Elite Platter,Retail Space,1498,"Surat, Kerala",9308471,"Confident Leader, Execution Specialist, Opportunity Hunter",HORECA,eliteplatter2883@business.com
Royal Bistro,Standalone Building,2561,"Guwahati, Uttar Pradesh",1514698,Strategic Planner,HORECA,royalbistro5013@business.com
Golden Lounge,Mall Kiosk,2117,"Bengaluru, West Bengal",4890170,Execution Specialist,HORECA,goldenlounge5069@business.com
Royal Cafe,Mall Kiosk,362,"Ahmedabad, Assam",942372,"Persuasive Networker, Visionary Innovator",HORECA,royalcafe6479@business.com
Regal Platter,Mall Kiosk,3296,"Noida, Madhya Pradesh",219132,Opportunity Hunter,HORECA,regalplatter3719@business.com
Masti Spot,Standalone Building,1619,"Pune, Odisha",1170040,"Resilient Builder, Opportunity Hunter, Execution Specialist",HORECA,mastispot3099@business.com
Imperial Table,Retail Space,3336,"Bhubaneswar, West Bengal",1573583,Execution Specialist,HORECA,imperialtable5553@business.com
Madras Tiffin,Mall Kiosk,1320,"Kochi, Rajasthan",0,"Opportunity Hunter, Resilient Builder, Execution Specialist",HORECA,madrastiffin2035@business.com
Kolkata Corner,Retail Space,3575,"Bengaluru, Assam",0,"Execution Specialist, Persuasive Networker",HORECA,kolkatacorner7748@business.com
Biryani Junction,Food Court Stall,890,"Jaipur, Telangana",10461045,Opportunity Hunter,HORECA,biryanijunction9614@business.com
Kolkata Meals,Commercial Shop,1507,"Kolkata, Karnataka",8474582,Resilient Builder,HORECA,kolkatameals7635@business.com
Spice Junction,Standalone Building,335,"Nagpur, Assam",0,"Resilient Builder, Execution Specialist, Strategic Planner",HORECA,spicejunction3178@business.com
Desi House,Standalone Building,1745,"Guwahati, Maharashtra",2720795,Execution Specialist,HORECA,desihouse3699@business.com
Lucknow Dhaba,Standalone Building,3373,"Delhi, Uttar Pradesh",1721320,"Opportunity Hunter, Adaptive Problem Solver",HORECA,lucknowdhaba5142@business.com
Velvet Reserve,Retail Space,2942,"Mumbai, Odisha",7039203,"Visionary Innovator, Opportunity Hunter",HORECA,velvetreserve3334@business.com
Desi Point,Commercial Shop,2952,"Ahmedabad, West Bengal",9377530,"Persuasive Networker, Adaptive Problem Solver, Visionary Innovator",HORECA,desipoint1921@business.com
Madras Meals,Restaurant Space,1300,"Bhubaneswar, Assam",1897447,"Resilient Builder, Confident Leader, Execution Specialist",HORECA,madrasmeals225@business.com
Chill Bazaar,Mall Kiosk,2410,"Indore, Karnataka",9678604,"Adaptive Problem Solver, Strategic Planner",HORECA,chillbazaar9212@business.com
Velvet Reserve,Commercial Shop,3470,"Indore, Assam",1192585,Visionary Innovator,HORECA,velvetreserve5560@business.com
Delhi Corner,Mall Kiosk,3775,"Bhubaneswar, Delhi",0,Adaptive Problem Solver,HORECA,delhicorner6560@business.com
Hungry Bazaar,Food Court Stall,3682,"Jaipur, Karnataka",1033058,"Persuasive Networker, Opportunity Hunter",HORECA,hungrybazaar3654@business.com
Elite Kitchen,Mall Kiosk,2876,"Pune, Kerala",3726687,"Strategic Planner, Execution Specialist",HORECA,elitekitchen3638@business.com
Royal Dining,Restaurant Space,2279,"Chennai, Madhya Pradesh",7143797,Adaptive Problem Solver,HORECA,royaldining601@business.com
Urban Table,Commercial Shop,2170,"Indore, Telangana",5299243,Adaptive Problem Solver,HORECA,urbantable5944@business.com
Grand Bistro,Food Court Stall,2667,"Bhopal, Kerala",12359147,Visionary Innovator,HORECA,grandbistro9357@business.com
Urban Table,Food Court Stall,3685,"Bhubaneswar, Punjab",10834356,Visionary Innovator,HORECA,urbantable9781@business.com
Punjab Food Court,Retail Space,2464,"Bhopal, Assam",0,"Resilient Builder, Strategic Planner",HORECA,punjabfoodcourt702@business.com
Royal House,Mall Kiosk,3264,"Patna, Gujarat",0,"Confident Leader, Adaptive Problem Solver, Opportunity Hunter",HORECA,royalhouse6842@business.com
Biryani Station,Mall Kiosk,2235,"Guwahati, Madhya Pradesh",0,"Visionary Innovator, Persuasive Networker",HORECA,biryanistation8314@business.com
Bombay Food Court,Commercial Shop,499,"Kochi, Maharashtra",5938731,"Confident Leader, Strategic Planner, Resilient Builder",HORECA,bombayfoodcourt3875@business.com
Tandoor Adda,Commercial Shop,810,"Bhopal, Karnataka",800296,"Resilient Builder, Execution Specialist",HORECA,tandooradda2244@business.com
Velvet Table,Standalone Building,371,"Ahmedabad, Telangana",9801995,"Opportunity Hunter, Confident Leader, Execution Specialist",HORECA,velvettable4159@business.com
Kolkata Cafe,Mall Kiosk,3822,"Ahmedabad, Karnataka",0,"Strategic Planner, Opportunity Hunter, Confident Leader",HORECA,kolkatacafe8967@business.com
Kolkata Tiffin,Commercial Shop,3311,"Kolkata, Maharashtra",0,"Confident Leader, Strategic Planner",HORECA,kolkatatiffin5854@business.com
Desi Food Court,Restaurant Space,1311,"Kolkata, Delhi",16086828,"Visionary Innovator, Strategic Planner, Adaptive Problem Solver",HORECA,desifoodcourt3317@business.com
Regal Lounge,Commercial Shop,1148,"Jaipur, Karnataka",0,"Execution Specialist, Strategic Planner",HORECA,regallounge7876@business.com
Urban Cafe,Mall Kiosk,2370,"Hyderabad, Gujarat",2465529,"Persuasive Networker, Resilient Builder",HORECA,urbancafe4042@business.com
Elite Platter,Mall Kiosk,339,"Lucknow, Punjab",12605057,"Strategic Planner, Confident Leader",HORECA,eliteplatter516@business.com
Spice Adda,Food Court Stall,2677,"Guwahati, Tamil Nadu",6837817,Persuasive Networker,HORECA,spiceadda1573@business.com
Delhi Corner,Restaurant Space,1764,"Kolkata, Rajasthan",2350821,Opportunity Hunter,HORECA,delhicorner8116@business.com
Masala Street,Restaurant Space,2728,"Kochi, Gujarat",2362901,"Confident Leader, Execution Specialist",HORECA,masalastreet3649@business.com
Chill Station,Commercial Shop,495,"Noida, Punjab",8145875,"Persuasive Networker, Visionary Innovator",HORECA,chillstation5596@business.com
Heritage Dining,Retail Space,2197,"Chandigarh, West Bengal",838561,"Adaptive Problem Solver, Visionary Innovator, Confident Leader",HORECA,heritagedining91@business.com
Masala Corner,Food Court Stall,2606,"Chennai, Kerala",980934,Execution Specialist,HORECA,masalacorner5460@business.com
Hyderabadi Eatery,Food Court Stall,944,"Chandigarh, Uttar Pradesh",2563187,Opportunity Hunter,HORECA,hyderabadieatery670@business.com
Madras Dhaba,Standalone Building,1426,"Ahmedabad, Delhi",13264765,"Persuasive Networker, Execution Specialist",HORECA,madrasdhaba6359@business.com
Chill Spot,Food Court Stall,2518,"Noida, Odisha",478722,"Strategic Planner, Execution Specialist, Resilient Builder",HORECA,chillspot5210@business.com
Madras Eatery,Retail Space,3652,"Lucknow, Delhi",0,"Persuasive Networker, Execution Specialist",HORECA,madraseatery6561@business.com
Imperial Cafe,Restaurant Space,2166,"Bengaluru, Uttar Pradesh",0,Opportunity Hunter,HORECA,imperialcafe1761@business.com
Golden Cafe,Mall Kiosk,1714,"Chandigarh, Rajasthan",1690401,Resilient Builder,HORECA,goldencafe4274@business.com
Chill Corner,Food Court Stall,212,"Jaipur, Assam",0,Resilient Builder,HORECA,chillcorner9543@business.com
Chai Spot,Retail Space,2958,"Bhopal, Kerala",492853,Resilient Builder,HORECA,chaispot4106@business.com
Masala Stop,Mall Kiosk,1629,"Bengaluru, Punjab",1326564,"Persuasive Networker, Execution Specialist",HORECA,masalastop3961@business.com
Lucknow Eatery,Food Court Stall,2899,"Mumbai, Rajasthan",11140853,Confident Leader,HORECA,lucknoweatery6252@business.com
Signature Reserve,Restaurant Space,2409,"Kolkata, Delhi",10064313,Confident Leader,HORECA,signaturereserve6038@business.com
Bengal Cafe,Standalone Building,1471,"Surat, Madhya Pradesh",0,"Strategic Planner, Adaptive Problem Solver, Confident Leader",HORECA,bengalcafe7855@business.com
Heritage Cuisine,Food Court Stall,3101,"Hyderabad, Delhi",0,Adaptive Problem Solver,HORECA,heritagecuisine339@business.com
Signature House,Retail Space,1066,"Chandigarh, West Bengal",1576306,Opportunity Hunter,HORECA,signaturehouse1139@business.com
Masti Point,Restaurant Space,3302,"Ahmedabad, Madhya Pradesh",17278748,"Strategic Planner, Opportunity Hunter, Visionary Innovator",HORECA,mastipoint131@business.com
Hungry Spot,Mall Kiosk,400,"Lucknow, Kerala",6612044,"Confident Leader, Strategic Planner",HORECA,hungryspot2377@business.com
Elite Cafe,Mall Kiosk,1809,"Hyderabad, Tamil Nadu",5904107,Persuasive Networker,HORECA,elitecafe9718@business.com
Regal Kitchen,Mall Kiosk,223,"Mumbai, Telangana",4702096,Execution Specialist,HORECA,regalkitchen3718@business.com
India House,Commercial Shop,2880,"Patna, Gujarat",0,Strategic Planner,HORECA,indiahouse4995@business.com
Tandoor Bazaar,Retail Space,3056,"Kochi, West Bengal",5813880,"Visionary Innovator, Strategic Planner, Adaptive Problem Solver",HORECA,tandoorbazaar1374@business.com
Hungry Point,Restaurant Space,2051,"Kochi, Madhya Pradesh",3013701,Confident Leader,HORECA,hungrypoint1225@business.com
Imperial Cuisine,Food Court Stall,3508,"Chennai, Rajasthan",2468606,Visionary Innovator,HORECA,imperialcuisine5155@business.com
Urban Table,Retail Space,3959,"Mumbai, Maharashtra",1135567,"Execution Specialist, Resilient Builder",HORECA,urbantable7018@business.com
Signature Platter,Retail Space,3318,"Bhubaneswar, Gujarat",2353517,"Visionary Innovator, Resilient Builder, Execution Specialist",HORECA,signatureplatter1027@business.com
Kolkata Cafe,Food Court Stall,3949,"Bengaluru, Odisha",15990351,"Execution Specialist, Persuasive Networker, Adaptive Problem Solver",HORECA,kolkatacafe9643@business.com
Crazy Junction,Mall Kiosk,710,"Chandigarh, Assam",19789331,"Confident Leader, Persuasive Networker, Strategic Planner",HORECA,crazyjunction7458@business.com
Heritage Cafe,Retail Space,1465,"Jaipur, West Bengal",0,"Persuasive Networker, Confident Leader",HORECA,heritagecafe739@business.com
Punjab Meals,Commercial Shop,391,"Ahmedabad, Karnataka",0,"Visionary Innovator, Strategic Planner",HORECA,punjabmeals7384@business.com
Lucknow Cafe,Retail Space,3970,"Chandigarh, Punjab",2858515,Confident Leader,HORECA,lucknowcafe7179@business.com
Royal Cuisine,Mall Kiosk,3853,"Bhubaneswar, Madhya Pradesh",2800460,Resilient Builder,HORECA,royalcuisine2955@business.com
Bengal Eatery,Restaurant Space,2418,"Kolkata, Tamil Nadu",0,"Adaptive Problem Solver, Confident Leader",HORECA,bengaleatery1481@business.com
Urban Kitchen,Retail Space,1626,"Mumbai, Telangana",9705157,"Execution Specialist, Visionary Innovator, Adaptive Problem Solver",HORECA,urbankitchen628@business.com
Velvet Lounge,Standalone Building,1728,"Jaipur, Madhya Pradesh",0,Adaptive Problem Solver,HORECA,velvetlounge6576@business.com
Heritage Cuisine,Standalone Building,283,"Guwahati, Telangana",0,"Execution Specialist, Opportunity Hunter",HORECA,heritagecuisine6584@business.com
Lucknow House,Food Court Stall,668,"Chandigarh, Odisha",0,"Persuasive Networker, Strategic Planner, Resilient Builder",HORECA,lucknowhouse3299@business.com
Punjab House,Retail Space,1895,"Mumbai, Tamil Nadu",6240375,Visionary Innovator,HORECA,punjabhouse1237@business.com
Elite Reserve,Standalone Building,2795,"Kochi, Telangana",0,"Resilient Builder, Persuasive Networker, Visionary Innovator",HORECA,elitereserve7826@business.com
Golden Lounge,Standalone Building,262,"Ahmedabad, Maharashtra",14727242,Opportunity Hunter,HORECA,goldenlounge4750@business.com
Punjab Corner,Standalone Building,1326,"Kochi, Kerala",1042377,Opportunity Hunter,HORECA,punjabcorner1384@business.com
Urban Bistro,Restaurant Space,1899,"Patna, Odisha",2809706,"Execution Specialist, Adaptive Problem Solver",HORECA,urbanbistro4187@business.com
Masti Stop,Standalone Building,3516,"Mumbai, Assam",9186475,Persuasive Networker,HORECA,mastistop5352@business.com
Golden Bistro,Commercial Shop,3475,"Surat, Karnataka",0,Confident Leader,HORECA,goldenbistro9615@business.com
Punjab Meals,Standalone Building,2229,"Chennai, Kerala",11098000,"Visionary Innovator, Persuasive Networker, Resilient Builder",HORECA,punjabmeals4308@business.com
Madras Meals,Mall Kiosk,1688,"Chandigarh, Tamil Nadu",8091902,"Resilient Builder, Execution Specialist, Adaptive Problem Solver",HORECA,madrasmeals2565@business.com
Velvet Lounge,Standalone Building,2006,"Guwahati, Kerala",9095905,"Confident Leader, Opportunity Hunter",HORECA,velvetlounge8541@business.com
Crazy Street,Retail Space,789,"Kochi, Maharashtra",9302553,"Adaptive Problem Solver, Persuasive Networker",HORECA,crazystreet3969@business.com
Masala Stop,Mall Kiosk,3817,"Bengaluru, Assam",14886267,"Adaptive Problem Solver, Persuasive Networker",HORECA,masalastop7217@business.com
Madras Meals,Restaurant Space,2623,"Noida, Uttar Pradesh",18372420,Resilient Builder,HORECA,madrasmeals188@business.com
Bombay Cafe,Mall Kiosk,3235,"Mumbai, Maharashtra",2212107,"Adaptive Problem Solver, Visionary Innovator",HORECA,bombaycafe7651@business.com
Masti Hub,Restaurant Space,1497,"Bhubaneswar, Telangana",1159395,"Strategic Planner, Adaptive Problem Solver, Opportunity Hunter",HORECA,mastihub3419@business.com
Urban Platter,Commercial Shop,3533,"Bhopal, Karnataka",0,Confident Leader,HORECA,urbanplatter9140@business.com
Delhi Biryani,Mall Kiosk,2329,"Bhubaneswar, Punjab",0,Opportunity Hunter,HORECA,delhibiryani7168@business.com
Lucknow Biryani,Food Court Stall,1182,"Delhi, Odisha",8677768,Strategic Planner,HORECA,lucknowbiryani8561@business.com
Velvet Cuisine,Mall Kiosk,2040,"Nagpur, Karnataka",1354096,"Confident Leader, Strategic Planner, Persuasive Networker",HORECA,velvetcuisine5001@business.com
Regal House,Commercial Shop,3630,"Chennai, West Bengal",1407591,Visionary Innovator,HORECA,regalhouse9959@business.com
Heritage House,Commercial Shop,335,"Lucknow, Karnataka",0,"Resilient Builder, Persuasive Networker, Confident Leader",HORECA,heritagehouse4177@business.com
Chai Corner,Standalone Building,3048,"Bhopal, Delhi",551648,"Persuasive Networker, Visionary Innovator",HORECA,chaicorner1570@business.com
Hyderabadi Cafe,Retail Space,2430,"Chandigarh, Maharashtra",0,Strategic Planner,HORECA,hyderabadicafe5342@business.com
Grand Lounge,Commercial Shop,3418,"Nagpur, Uttar Pradesh",3555685,"Confident Leader, Execution Specialist",HORECA,grandlounge182@business.com
Golden House,Standalone Building,1156,"Bengaluru, Gujarat",1991680,"Confident Leader, Strategic Planner, Persuasive Networker",HORECA,goldenhouse4821@business.com
Regal Lounge,Mall Kiosk,3294,"Mumbai, Telangana",0,Persuasive Networker,HORECA,regallounge7550@business.com
Crazy Hub,Standalone Building,1743,"Guwahati, Telangana",3570830,Adaptive Problem Solver,HORECA,crazyhub9635@business.com
Imperial House,Commercial Shop,1105,"Ahmedabad, Karnataka",14410390,"Visionary Innovator, Persuasive Networker, Adaptive Problem Solver",HORECA,imperialhouse4079@business.com
Urban Kitchen,Retail Space,1539,"Guwahati, West Bengal",14108646,"Strategic Planner, Confident Leader",HORECA,urbankitchen1225@business.com
Bombay Eatery,Mall Kiosk,583,"Kochi, Assam",0,"Resilient Builder, Confident Leader",HORECA,bombayeatery3883@business.com
Hyderabadi Cafe,Retail Space,960,"Indore, Maharashtra",0,Execution Specialist,HORECA,hyderabadicafe7593@business.com
Desi Street,Standalone Building,1270,"Ahmedabad, Assam",19691197,"Resilient Builder, Strategic Planner",HORECA,desistreet8180@business.com
Punjab House,Food Court Stall,1870,"Noida, Rajasthan",3641966,"Confident Leader, Opportunity Hunter",HORECA,punjabhouse7951@business.com
Madras Tiffin,Food Court Stall,3795,"Kolkata, Madhya Pradesh",0,"Opportunity Hunter, Persuasive Networker, Execution Specialist",HORECA,madrastiffin5099@business.com
Crazy Junction,Commercial Shop,568,"Kochi, Uttar Pradesh",1220422,Confident Leader,HORECA,crazyjunction4393@business.com
Chill Corner,Commercial Shop,411,"Bhopal, West Bengal",0,"Visionary Innovator, Strategic Planner",HORECA,chillcorner3292@business.com
Desi Biryani,Restaurant Space,3521,"Kochi, Madhya Pradesh",657061,"Resilient Builder, Execution Specialist, Confident Leader",HORECA,desibiryani224@business.com
Urban Lounge,Mall Kiosk,3912,"Indore, Delhi",0,"Resilient Builder, Confident Leader, Visionary Innovator",HORECA,urbanlounge907@business.com
Desi Bazaar,Retail Space,1358,"Mumbai, Maharashtra",1369559,"Execution Specialist, Strategic Planner",HORECA,desibazaar9892@business.com
Imperial Kitchen,Restaurant Space,1370,"Guwahati, Assam",377612,"Visionary Innovator, Execution Specialist",HORECA,imperialkitchen8284@business.com
Madras Biryani,Food Court Stall,252,"Indore, Punjab",12492272,"Confident Leader, Resilient Builder, Opportunity Hunter",HORECA,madrasbiryani6944@business.com
Imperial Dining,Commercial Shop,3456,"Delhi, Rajasthan",0,"Adaptive Problem Solver, Execution Specialist, Opportunity Hunter",HORECA,imperialdining1639@business.com
Punjab Kitchen,Mall Kiosk,3790,"Indore, Punjab",7458346,Execution Specialist,HORECA,punjabkitchen7666@business.com
Royal Reserve,Commercial Shop,3483,"Nagpur, Gujarat",0,"Strategic Planner, Opportunity Hunter, Adaptive Problem Solver",HORECA,royalreserve3232@business.com
Chill Bazaar,Mall Kiosk,237,"Chandigarh, Uttar Pradesh",1439389,"Resilient Builder, Visionary Innovator, Adaptive Problem Solver",HORECA,chillbazaar1843@business.com
Punjab Biryani,Retail Space,3236,"Jaipur, West Bengal",0,"Execution Specialist, Confident Leader",HORECA,punjabbiryani9291@business.com
Tandoor Station,Retail Space,3354,"Surat, Assam",0,Persuasive Networker,HORECA,tandoorstation5345@business.com
Tandoor Bazaar,Commercial Shop,2992,"Mumbai, Gujarat",13600374,"Persuasive Networker, Resilient Builder",HORECA,tandoorbazaar9067@business.com
Crazy Adda,Standalone Building,1006,"Guwahati, Delhi",0,Execution Specialist,HORECA,crazyadda5374@business.com
Lucknow Meals,Standalone Building,3985,"Jaipur, Kerala",0,Resilient Builder,HORECA,lucknowmeals1619@business.com
Signature Cafe,Food Court Stall,946,"Hyderabad, Delhi",466049,"Opportunity Hunter, Confident Leader",HORECA,signaturecafe8783@business.com
Bengal Kitchen,Commercial Shop,2952,"Guwahati, Telangana",0,Adaptive Problem Solver,HORECA,bengalkitchen8779@business.com
Spice Street,Restaurant Space,2862,"Chandigarh, Telangana",0,Execution Specialist,HORECA,spicestreet6@business.com
Bombay Dhaba,Mall Kiosk,3204,"Ahmedabad, Maharashtra",0,"Persuasive Networker, Confident Leader, Opportunity Hunter",HORECA,bombaydhaba1338@business.com
Punjab House,Commercial Shop,3784,"Surat, Kerala",3819652,"Execution Specialist, Adaptive Problem Solver, Persuasive Networker",HORECA,punjabhouse6338@business.com
Imperial Reserve,Mall Kiosk,587,"Pune, Delhi",2198977,Strategic Planner,HORECA,imperialreserve8908@business.com
Urban Reserve,Restaurant Space,3946,"Bhopal, Odisha",14202439,"Opportunity Hunter, Resilient Builder, Persuasive Networker",HORECA,urbanreserve8245@business.com
Delhi Meals,Standalone Building,2182,"Ahmedabad, Telangana",309603,"Resilient Builder, Strategic Planner",HORECA,delhimeals5474@business.com
Desi Eatery,Commercial Shop,1418,"Bhopal, West Bengal",991241,"Persuasive Networker, Opportunity Hunter, Execution Specialist",HORECA,desieatery7743@business.com
Urban Cafe,Retail Space,902,"Lucknow, Madhya Pradesh",1188942,Opportunity Hunter,HORECA,urbancafe1758@business.com
